session,eta_nom,acad_lib,acad_reg_lib,mention,parcours,alternance,modalite_enseignement,lieux_formation,disci_master,disci_lib,secteur_disci_lib,n_accept,n_accept_femme,uo_lib_actuel,diploma_needed
2023,Université Paris 8 - Vincennes - Saint-Denis,Créteil,Île-de-France,"arts, technologies, creation",Technologies et médiations humaines,False,"INITIALE,CONTINUE,HYBRIDE",Univeristé Paris 8  - ST DENIS CEDEX (93),"Lettres, langues, art","Lettres, sciences du langage, arts",Arts,2,1,Université Paris 8 - Vincennes - Saint-Denis,Autre
2023,Université Bourgogne - Franche-Comté,Besançon,Bourgogne-Franche-Comté,systemes de calculs embarques,Internet of Things (IoT) (internet des objets),False,"INITIALE,HYBRIDE","UFR STGI - Sciences, techniques et gestion de l'industrie (site de Montbéliard) - MONTBÉLIARD CEDEX (25)",Sc. fondamentales et appliquées (dont S.T.A.P.S.),Pluridisciplinaire sciences,Pluridisciplinaire sciences,2,0,Université Bourgogne - Franche-Comté,Autre
2023,Université Bourgogne - Franche-Comté,Besançon,Bourgogne-Franche-Comté,chimie moleculaire,Transition Metals in Molecular Chemistry (T2MC) (métaux de transition en chimie moléculaire),False,"INITIALE,HYBRIDE",Université de Bourgogne - DIJON (21),Sc. fondamentales et appliquées (dont S.T.A.P.S.),Sciences fondamentales et applications,Physique et chimie,8,2,Université Bourgogne - Franche-Comté,Autre
2023,Université Bourgogne - Franche-Comté,Besançon,Bourgogne-Franche-Comté,humanites numeriques,Rare Book and Digital Humanities (Rare Book) (Livre ancien et humanités numériques),False,"INITIALE,HYBRIDE",Université de Franche-Comté - BESANÇON CEDEX (25),S.H.S.,Sciences humaines et sociales,Sciences de l'information et la communication,5,3,Université Bourgogne - Franche-Comté,Autre
2023,Université de la Nouvelle-Calédonie,Nouvelle-Calédonie,Collectivités d'outre-mer,methodes informatiques appliquees a la gestion des entreprises - miage,Unknown,False,"INITIALE,CONTINUE,HYBRIDE","IAE UNC - NOUMEA ,Université de la Nouvelle Calédonie - NOUMEA CEDEX (98)",Sc. fondamentales et appliquées (dont S.T.A.P.S.),Sciences fondamentales et applications,Informatique,11,4,Université de la Nouvelle-Calédonie,Autre
2023,Université Paris 8 - Vincennes - Saint-Denis,Créteil,Île-de-France,"justice, proces et procedures",Unknown,False,"CONTINUE,DISTANCE",Université Paris 8 - ST DENIS CEDEX (93),Droit et sc. politiques,"Droit, sciences politiques",Sciences juridiques,11,7,Université Paris 8 - Vincennes - Saint-Denis,Autre
2023,Université de La Réunion,La Réunion,La Réunion,risques et environnement,Unknown,True,CONTRAT_PRO,Campus du Tampon - LE TAMPON (97),S.H.S.,Sciences humaines et sociales,Aménagement,4,1,Université de La Réunion,Autre
2023,Université Paris-Est Créteil,Créteil,Île-de-France,economie appliquee,"Méthodes appliquées de la statistique et de l'économétrie pour la recherche, l'analyse et le traitement d'information (MASERATI) - Data Science",False,"INITIALE,HYBRIDE",UNIVERSITE PARIS EST CRETEIL VAL-DE-MARNE - UPEC - CRETEIL CEDEX (94),"Economie, gestion et A.E.S.","Sciences économiques, gestion",Sciences économiques,20,7,Université Paris-Est Créteil,Autre
2023,Université Paris-Est Créteil,Créteil,Île-de-France,langues etrangeres appliquees,"Management international trilingue - Marchés anglophones et Europe du Nord (anglais, espagnol, allemand)",False,"INITIALE,CONTINUE,HYBRIDE",UNIVERSITE PARIS EST CRETEIL VAL-DE-MARNE - UPEC - CRETEIL CEDEX (94),"Lettres, langues, art",Langues,Langues étrangères appliquées,37,30,Université Paris-Est Créteil,Autre
2023,Université Paris-Est Créteil,Créteil,Île-de-France,energie,Unknown,True,APPRENTISSAGE,UNIVERSITE PARIS EST CRETEIL VAL-DE-MARNE - UPEC - CRETEIL CEDEX (94),Sc. fondamentales et appliquées (dont S.T.A.P.S.),Sciences fondamentales et applications,Pluridisciplinaire sciences fondamentales et applications,4,0,Université Paris-Est Créteil,Autre
2023,Université Paris-Est Créteil,Créteil,Île-de-France,philosophie,Humanités médicales,False,"INITIALE,CONTINUE,HYBRIDE",UNIVERSITE PARIS EST CRETEIL VAL-DE-MARNE - UPEC - CRETEIL CEDEX (94),S.H.S.,Sciences humaines et sociales,"Philosophie, épistémologie",6,4,Université Paris-Est Créteil,Sciences Sociales et Humanités
2023,Université Paris-Est Créteil,Créteil,Île-de-France,administration publique,Administration publique et Gestion des collectivités locales,True,APPRENTISSAGE,Institut d’Etudes Politiques (IEP)  de Fontainebleau - UPEC  - FONTAINEBLEAU (77),Droit et sc. politiques,"Droit, sciences politiques",Sciences juridiques,2,1,Université Paris-Est Créteil,Autre
2023,Université Paris-Est Créteil,Créteil,Île-de-France,genie industriel,Maintenance et maitrise des risques industriels,True,"APPRENTISSAGE,CONTINUE",UNIVERSITE PARIS EST CRETEIL VAL-DE-MARNE - UPEC - CRETEIL CEDEX (94),Sc. fondamentales et appliquées (dont S.T.A.P.S.),Sciences fondamentales et applications,Technologie et sciences industrielles,4,1,Université Paris-Est Créteil,Autre
2023,Université Paris-Est Créteil,Créteil,Île-de-France,genie industriel,Directeur de travaux en immobilier,True,"APPRENTISSAGE,CONTINUE",UNIVERSITE PARIS EST CRETEIL VAL-DE-MARNE - UPEC - CRETEIL CEDEX (94),Sc. fondamentales et appliquées (dont S.T.A.P.S.),Sciences fondamentales et applications,Technologie et sciences industrielles,6,2,Université Paris-Est Créteil,Autre
2023,Université Paris-Est Créteil,Créteil,Île-de-France,management des systemes d'information,Management de la sécurité des systèmes d'information,True,APPRENTISSAGE,UNIVERSITE PARIS EST CRETEIL VAL-DE-MARNE - UPEC - CRETEIL CEDEX (94),"Economie, gestion et A.E.S.","Sciences économiques, gestion",Sciences de gestion,10,6,Université Paris-Est Créteil,Autre
2023,Université Paris-Est Créteil,Créteil,Île-de-France,histoire,Histoire européenne comparée,False,"INITIALE,CONTINUE,HYBRIDE",UNIVERSITE PARIS EST CRETEIL VAL-DE-MARNE - UPEC - CRETEIL CEDEX (94),S.H.S.,Sciences humaines et sociales,Histoire,10,3,Université Paris-Est Créteil,Sciences Sociales et Humanités
2023,Université Polytechnique Hauts-de-France,Lille,Hauts-de-France,histoire,HISTOIRE ET VALORISATION CULTURELLE A L'INTERNATIONAL,False,"INITIALE,CONTINUE,HYBRIDE",UPHF - Institut Sociétés et Humanités  (ISH) - VALENCIENNES (59),S.H.S.,Sciences humaines et sociales,Histoire,17,11,Université Polytechnique Hauts-de-France,Sciences Sociales et Humanités
2023,Université Polytechnique Hauts-de-France,Lille,Hauts-de-France,"arts, lettres et civilisations",ÉCRITURES CRÉATIVES ET RECHERCHE (CREATION LITTERAIRE),False,"INITIALE,HYBRIDE",UPHF - Institut Sociétés et Humanités  (ISH) - VALENCIENNES (59),"Lettres, langues, art","Lettres, sciences du langage, arts","Pluridisciplinaire lettres, sciences du langage, arts",13,8,Université Polytechnique Hauts-de-France,Autre
2023,Université Polytechnique Hauts-de-France,Lille,Hauts-de-France,creation numerique,DESIGN INFORMATIONNEL ET JOURNALISME TRANSMEDIA,False,,"UPHF - Institut Sociétés et Humanités  (ISH) - VALENCIENNES (59),UPHF - Institut Sociétés et Humanités  (ISH) - WALLERS-ARENBERG (59)","Lettres, langues, art","Lettres, sciences du langage, arts",Arts,25,14,Université Polytechnique Hauts-de-France,Autre
2023,Institut catholique de Lille,Lille,Hauts-de-France,creation numerique,Scénarisation et réalisation transmédia - Option Animation 2D / Pôle 3D,False,"INITIALE,HYBRIDE",Pôle 3D - ROUBAIX (59),"Lettres, langues, art","Lettres, sciences du langage, arts",Arts,17,8,Institut catholique de Lille,Autre
2023,Université Paris-Saclay,Versailles,Île-de-France,gestion des ressources humaines,M1 Management des Ressources Humaines et Transformations Digitales - site UVSQ-Guyancourt #PR1247,True,APPRENTISSAGE,GUYANCOURT - GUYANCOURT,"Economie, gestion et A.E.S.","Sciences économiques, gestion",Sciences de gestion,17,14,Université Paris-Saclay,Autre
2023,Université Paris-Saclay,Versailles,Île-de-France,science politique,M1 Politiques de communication : influence et affaires publiques #PR1111,True,APPRENTISSAGE,GUYANCOURT - GUYANCOURT (78),Droit et sc. politiques,"Droit, sciences politiques",Sciences politiques,7,4,Université Paris-Saclay,Autre
